task_id,answer
c2a3cb5c-6cd3-40d8-b82a-0543c0e1b741,ESG
37c55a8f-44cd-4fde-999f-6b7b8144d6d3,需要查看商品编号
75c67c1b-b121-4af0-97cd-949a6670f983,需要查看评价规则
b3f5a97d-efed-4cb3-bb56-c5989bdb1cce,需要查看艺人出道年份
d25005ec-210f-4cce-ae45-6fbabf288090,4刀
a68396c6-9eb3-4150-b030-e4909b9f5cd8,2
03d2b85d-c732-4d84-81ea-fa259eb88d35,需要解决算法题
7c3f5dcd-237c-4736-a58e-85f963d7cb8f,需要查看dify访问链接
8f9281cd-e56d-478a-9556-8ae68ad41098,需要查看GitHub issue解答
e099efb1-ab8a-4036-a216-f97c942828e3,需要查看研究院名称
8bc6c211-4e06-4de6-9698-c1c885a5b886,需要观看生灵奇旅第1集
b9599268-00ba-453b-8b6b-bfb384c6eb79,需要查看商品销量数据
